;Well;Fluor;Target;Content;Sample;Biological Set Name;Cq;Cq Mean;Cq Std. Dev;Starting Quantity (SQ);Log Starting Quantity;SQ Mean;SQ Std. Dev;Set Point;Well Note
;A01;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;A02;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;A03;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;A04;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;A05;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;A06;FAM;;Unkn;;;37,5193137313286;37,5193137313286;0;NaN;NaN;NaN;0;58;
;A07;FAM;;Unkn;;;36,1723400561602;36,1723400561602;0;NaN;NaN;NaN;0;58;
;A08;FAM;;Unkn;;;29,2477042095685;29,2477042095685;0;NaN;NaN;NaN;0;58;
;A09;FAM;;Unkn;;;29,1977782366281;29,1977782366281;0;NaN;NaN;NaN;0;58;
;A10;FAM;;Unkn;;;29,9815562924381;29,9815562924381;0;NaN;NaN;NaN;0;58;
;A11;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;A12;FAM;;Unkn;;;28,0793396263576;28,0793396263576;0;NaN;NaN;NaN;0;58;
;B01;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;B02;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;B03;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;B04;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;B05;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;B06;FAM;;Unkn;;;34,314774498216;34,314774498216;0;NaN;NaN;NaN;0;58;
;B07;FAM;;Unkn;;;34,3707256495863;34,3707256495863;0;NaN;NaN;NaN;0;58;
;B08;FAM;;Unkn;;;29,9044995271466;29,9044995271466;0;NaN;NaN;NaN;0;58;
;B09;FAM;;Unkn;;;30,0795569334539;30,0795569334539;0;NaN;NaN;NaN;0;58;
;B10;FAM;;Unkn;;;30,908226540822;30,908226540822;0;NaN;NaN;NaN;0;58;
;B11;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;B12;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;C01;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;C02;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;C03;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;C04;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;C05;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;C06;FAM;;Unkn;;;39,5681473844312;39,5681473844312;0;NaN;NaN;NaN;0;58;
;C07;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;C08;FAM;;Unkn;;;26,6283843702057;26,6283843702057;0;NaN;NaN;NaN;0;58;
;C09;FAM;;Unkn;;;26,7070378570933;26,7070378570933;0;NaN;NaN;NaN;0;58;
;C10;FAM;;Unkn;;;35,4155104888988;35,4155104888988;0;NaN;NaN;NaN;0;58;
;C11;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;C12;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;D01;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;D02;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;D03;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;D04;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;D05;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;D06;FAM;;Unkn;;;30,0876531770301;30,0876531770301;0;NaN;NaN;NaN;0;58;
;D07;FAM;;Unkn;;;30,0903531017897;30,0903531017897;0;NaN;NaN;NaN;0;58;
;D08;FAM;;Unkn;;;36,1769579971066;36,1769579971066;0;NaN;NaN;NaN;0;58;
;D09;FAM;;Unkn;;;36,2109686976576;36,2109686976576;0;NaN;NaN;NaN;0;58;
;D10;FAM;;Unkn;;;32,385846985348;32,385846985348;0;NaN;NaN;NaN;0;58;
;D11;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;D12;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;E01;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;E02;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;E03;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;E04;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;E05;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;E06;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;E07;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;E08;FAM;;Unkn;;;30,0220406822767;30,0220406822767;0;NaN;NaN;NaN;0;58;
;E09;FAM;;Unkn;;;29,5981680984045;29,5981680984045;0;NaN;NaN;NaN;0;58;
;E10;FAM;;Unkn;;;36,2373077370728;36,2373077370728;0;NaN;NaN;NaN;0;58;
;E11;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;E12;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;F01;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;F02;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;F03;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;F04;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;F05;FAM;;Unkn;;;NaN;0;0;NaN;NaN;0;0;58;
;F06;FAM;;Unkn;;;38,4635805616769;38,4635805616769;0;NaN;NaN;NaN;0;58;
